Channel,N,ku,kv,SC_BLER,CW_evaluated
ISI h=0.5,16,,,0.1670,
ISI h=0.5,32,,,0.0600,
ISI h=0.5,64,,,0.0290,
ISI h=0.5,128,,,0.0090,
ISI h=0.5,256,,,0.0060,
ISI h=0.8,16,,,0.1860,
ISI h=0.8,32,,,0.0890,
ISI h=0.8,64,,,0.0540,
ISI h=0.8,128,,,0.0480,
ISI h=0.8,256,,,0.0220,
Gilbert-Elliott,16,,,0.1860,
Gilbert-Elliott,32,,,0.0850,
Gilbert-Elliott,64,,,0.0710,
Gilbert-Elliott,128,,,0.0570,
