N,SC_BLER,NCG_BLER,Ratio,CW,Notes
16,0.011,0.011,1.08x,5000,
32,0.008,0.009,1.10x,5000,
64,0.006,0.003,0.54x,5000,
128,0.002,0.001,0.60x,5000,
256,8e-05,4e-05,0.50x,50000,
512,0.0,0.0,both 0,2000,SC=0 errors
1024,0.0001,0.0001,1.00x,10000,
