Class,N,ku,kv,SC_BLER
B,16,3,6,0.078
B,32,6,13,0.125
B,64,13,26,0.092
B,128,26,51,0.071
B,256,51,102,0.043
B,512,102,205,0.03
B,1024,205,410,0.013
C,16,3,6,0.062
C,32,6,13,0.025
C,64,13,26,0.05
C,128,26,51,0.028
C,256,51,102,0.013
C,512,102,205,0.0105
C,1024,205,410,0.0
