N,ku,kv,Rate_U,Rate_V,Sum_Rate,Pct_Capacity,SC_BLER,SC_CW,NPD_BLER,NPD_CW,Ratio
16,4,7,0.250,0.438,0.688,50%,0.163,2000,0.111,2000,0.68x
32,7,15,0.219,0.469,0.688,50%,0.068,2000,0.038,2000,0.56x
64,15,29,0.234,0.453,0.688,50%,0.027,2000,0.017,2000,0.63x
128,30,58,0.234,0.453,0.688,50%,0.005,2000,0.007,2000,1.40x
256,59,117,0.230,0.457,0.688,50%,0.002,5000,0.0016,5000,0.80x
512,119,233,0.232,0.455,0.688,50%,0.0005,2000,0.00024,50000,0.48x
1024,238,467,0.232,0.456,0.688,50%,0.0005,10000,,,pending
