N,ku,kv,SC_BLER,NPD_BLER,Status
16,4,7,0.163,,pending
32,7,15,0.068,,pending
64,15,29,0.027,,pending
128,30,58,0.005,,pending
256,59,117,0.002,,pending
512,128,256,0.0045,,pending
1024,256,512,0.0,,pending
